symbol,date,open,high,low,close,adjusted_close,volume
IBM,2025-07-23,284.3,288.08,281.44,282.01,282.01,8105906
IBM,2025-07-24,261.25,262.0486,252.75,260.51,260.51,22647720
IBM,2025-07-25,260.02,260.8,256.35,259.72,259.72,7758653
IBM,2025-07-28,260.3,264.0,259.61,263.21,263.21,5192516
IBM,2025-07-29,264.3,265.7999,261.02,262.41,262.41,4627265
IBM,2025-07-30,261.6,262.0,258.9,260.26,260.26,3718290
IBM,2025-07-31,259.57,259.99,252.22,253.15,253.15,6739092
IBM,2025-08-01,251.405,251.4791,245.61,250.05,250.05,9683404
IBM,2025-08-04,251.05,252.08,248.11,251.98,251.98,5280588
IBM,2025-08-05,252.0,252.8,248.995,250.67,250.67,5823016
IBM,2025-08-06,251.53,254.32,249.28,252.28,252.28,3692105
IBM,2025-08-07,252.81,255.0,248.875,250.16,250.16,6251285
IBM,2025-08-08,248.88,249.48,241.65,242.27,242.27,6828390
IBM,2025-08-11,242.24,243.15,234.7,236.3,236.3,9381960
IBM,2025-08-12,236.53,237.96,233.36,234.77,234.77,8800597
IBM,2025-08-13,236.2,240.8411,236.2,240.07,240.07,5663562
IBM,2025-08-14,238.25,239.0,235.62,237.11,237.11,4556725
IBM,2025-08-15,237.61,240.62,236.77,239.72,239.72,4344322
IBM,2025-08-18,239.57,241.42,239.1158,239.45,239.45,3569594
IBM,2025-08-19,240.0,242.83,239.49,241.28,241.28,3328305
IBM,2025-08-20,242.11,242.88,240.34,242.55,242.55,3240064
IBM,2025-08-21,242.21,242.5,238.65,239.4,239.4,2991902
IBM,2025-08-22,240.74,243.68,240.22,242.09,242.09,3134882
IBM,2025-08-25,242.565,242.565,239.43,239.43,239.43,3513327
IBM,2025-08-26,241.02,244.98,240.38,242.63,242.63,5386582
IBM,2025-08-27,242.87,245.96,242.0,244.84,244.84,3698372
IBM,2025-08-28,245.43,245.88,243.36,245.73,245.73,2820817
IBM,2025-08-29,245.23,245.4599,241.72,243.49,243.49,2967558
IBM,2025-09-02,240.9,241.55,238.25,241.5,241.5,3469501
IBM,2025-09-03,240.02,244.25,239.41,244.1,244.1,3156289
IBM,2025-09-04,245.42,249.28,242.85,247.18,247.18,4765087
IBM,2025-09-05,248.23,249.03,245.45,248.53,248.53,3147478
IBM,2025-09-08,248.63,257.15,247.02,256.09,256.09,6940270
IBM,2025-09-09,256.12,260.66,254.88,259.11,259.11,4931105
IBM,2025-09-10,259.65,260.08,254.56,256.88,256.88,5185420
IBM,2025-09-11,257.56,258.545,255.655,257.01,257.01,3576048
IBM,2025-09-12,256.95,257.25,252.425,253.44,253.44,3433300
IBM,2025-09-15,254.02,259.05,254.0,256.24,256.24,4028365
IBM,2025-09-16,256.26,258.0,254.41,257.52,257.52,2719918
IBM,2025-09-17,257.495,260.9644,257.01,259.08,259.08,3974785
